Starting Clean Replay...
.......................................................................................................................................................................................................
Done! Processed 19999 data rows
Time,Alt,PosN,PosE,V_Up,V_N,V_E,Zenith,BrakePct
14781.8525,-0.0382,-0.1242,-0.1883,-0.0040,-0.0052,-0.0081,112.5776,0.0000
14781.8633,-0.0382,-0.1243,-0.1883,-0.0026,-0.0051,-0.0081,105.2321,0.0000
14781.8730,-0.0382,-0.1243,-0.1883,-0.0010,-0.0050,-0.0080,96.0957,0.0000
14781.8828,-0.0382,-0.1243,-0.1884,0.0006,-0.0048,-0.0080,86.5278,0.0000
14781.8926,-0.0961,-0.1243,-0.1884,-0.0950,-0.0046,-0.0080,174.4740,0.0000
14781.9033,-0.0970,-0.1244,-0.1885,-0.0935,-0.0045,-0.0079,174.4357,0.0000
14781.9131,-0.0980,-0.1244,-0.1885,-0.0920,-0.0044,-0.0080,174.3417,0.0000
14781.9229,-0.0989,-0.1244,-0.1885,-0.0905,-0.0043,-0.0079,174.3073,0.0000
14781.9326,-0.0887,-0.1244,-0.1886,-0.0703,-0.0044,-0.0079,172.7097,0.0000
14781.9434,-0.0894,-0.1244,-0.1886,-0.0687,-0.0045,-0.0079,172.4738,0.0000
14781.9531,-0.0901,-0.1245,-0.1887,-0.0673,-0.0047,-0.0078,172.2967,0.0000
14781.9629,-0.0908,-0.1245,-0.1887,-0.0657,-0.0049,-0.0077,172.1036,0.0000
14781.9727,-0.1053,-0.1245,-0.1887,-0.0876,-0.0051,-0.0078,173.9509,0.0000
14781.9834,-0.1062,-0.1245,-0.1888,-0.0861,-0.0052,-0.0078,173.7589,0.0000
14781.9932,-0.1071,-0.1246,-0.1888,-0.0844,-0.0053,-0.0078,173.6065,0.0000
14782.0029,-0.1079,-0.1246,-0.1889,-0.0827,-0.0053,-0.0079,173.4237,0.0000
14782.0127,-0.1318,-0.1246,-0.1889,-0.1200,-0.0055,-0.0080,175.3817,0.0000
14782.0234,-0.1329,-0.1247,-0.1889,-0.1184,-0.0055,-0.0080,175.3315,0.0000
14782.0332,-0.1341,-0.1247,-0.1890,-0.1169,-0.0053,-0.0079,175.3447,0.0000
14782.0430,-0.1353,-0.1247,-0.1890,-0.1154,-0.0049,-0.0081,175.3163,0.0000
14782.0527,-0.1440,-0.1247,-0.1891,-0.1267,-0.0047,-0.0081,175.7514,0.0000
14782.0635,-0.1453,-0.1248,-0.1891,-0.1252,-0.0046,-0.0081,175.7178,0.0000
14782.0732,-0.1465,-0.1248,-0.1891,-0.1236,-0.0046,-0.0081,175.6810,0.0000
14782.0830,-0.1478,-0.1248,-0.1892,-0.1222,-0.0046,-0.0082,175.6035,0.0000
14782.0928,-0.1777,-0.1248,-0.1892,-0.1696,-0.0047,-0.0082,176.8152,0.0000
14782.1025,-0.1794,-0.1248,-0.1893,-0.1681,-0.0048,-0.0081,176.7977,0.0000
14782.1133,-0.1811,-0.1249,-0.1893,-0.1665,-0.0049,-0.0081,176.7374,0.0000
14782.1230,-0.1828,-0.1249,-0.1893,-0.1649,-0.0051,-0.0081,176.6662,0.0000
14782.1328,-0.1623,-0.1249,-0.1894,-0.1258,-0.0053,-0.0081,175.6264,0.0000
14782.1426,-0.1635,-0.1250,-0.1894,-0.1243,-0.0054,-0.0081,175.5501,0.0000
14782.1533,-0.1648,-0.1250,-0.1895,-0.1228,-0.0054,-0.0082,175.4226,0.0000
14782.1631,-0.1660,-0.1250,-0.1895,-0.1213,-0.0054,-0.0082,175.3705,0.0000
14782.1729,-0.1672,-0.1250,-0.1895,-0.1197,-0.0052,-0.0083,175.3196,0.0000
14782.1826,-0.1684,-0.1251,-0.1896,-0.1183,-0.0050,-0.0085,175.2409,0.0000
14782.1934,-0.1696,-0.1251,-0.1896,-0.1169,-0.0049,-0.0086,175.1578,0.0000
14782.2031,-0.1707,-0.1251,-0.1897,-0.1154,-0.0047,-0.0087,175.0968,0.0000
14782.2207,-0.1623,-0.1252,-0.1898,-0.0948,-0.0082,-0.0152,169.7027,0.0000
14782.2305,-0.1631,-0.1252,-0.1898,-0.0934,-0.0040,-0.0076,174.7380,0.0000
14782.2383,-0.1639,-0.1252,-0.1899,-0.0923,-0.0036,-0.0068,175.2301,0.0000
14782.2451,-0.1645,-0.1252,-0.1899,-0.0913,-0.0032,-0.0060,175.7472,0.0000
14782.2529,-0.1652,-0.1252,-0.1899,-0.0901,-0.0037,-0.0068,175.0799,0.0000
14782.2627,-0.1661,-0.1253,-0.1900,-0.0886,-0.0048,-0.0085,173.7235,0.0000
14782.2734,-0.1670,-0.1253,-0.1900,-0.0872,-0.0049,-0.0085,173.5475,0.0000
14782.2832,-0.1679,-0.1253,-0.1901,-0.0858,-0.0051,-0.0085,173.4204,0.0000
14782.2930,-0.2007,-0.1253,-0.1901,-0.1375,-0.0054,-0.0085,175.8321,0.0000
14782.3027,-0.2021,-0.1254,-0.1901,-0.1360,-0.0053,-0.0086,175.7545,0.0000
14782.3135,-0.2034,-0.1254,-0.1902,-0.1347,-0.0051,-0.0083,175.8518,0.0000
14782.3232,-0.2048,-0.1254,-0.1902,-0.1332,-0.0048,-0.0083,175.8680,0.0000
14782.3330,-0.2174,-0.1254,-0.1903,-0.1499,-0.0047,-0.0089,176.1546,0.0000
14782.3428,-0.2189,-0.1255,-0.1903,-0.1480,-0.0045,-0.0089,176.1369,0.0000
14782.3525,-0.2203,-0.1255,-0.1904,-0.1433,-0.0047,-0.0085,176.1129,0.0000
14782.3633,-0.2217,-0.1255,-0.1904,-0.1413,-0.0040,-0.0089,176.0427,0.0000
14782.3730,-0.1652,-0.1255,-0.1904,-0.0482,-0.0054,-0.0091,167.6303,0.0000
14782.3828,-0.1657,-0.1256,-0.1905,-0.0500,-0.0055,-0.0089,168.1566,0.0000
14782.3926,-0.1662,-0.1256,-0.1905,-0.0495,-0.0030,-0.0087,169.4378,0.0000
14782.4033,-0.1667,-0.1256,-0.1906,-0.0476,-0.0018,-0.0086,169.5296,0.0000
14782.4131,-0.1964,-0.1256,-0.1906,-0.0925,-0.0048,-0.0087,173.8475,0.0000
14782.4229,-0.1973,-0.1256,-0.1907,-0.0888,-0.0067,-0.0098,172.3939,0.0000
14782.4326,-0.1982,-0.1257,-0.1907,-0.0849,-0.0047,-0.0091,173.1248,0.0000
14782.4434,-0.1990,-0.1257,-0.1908,-0.0814,-0.0042,-0.0087,173.2407,0.0000
14782.4531,-0.1859,-0.1257,-0.1908,-0.0561,-0.0056,-0.0088,169.4225,0.0000
14782.4629,-0.1864,-0.1257,-0.1908,-0.0553,-0.0050,-0.0091,169.3541,0.0000
14782.4727,-0.1870,-0.1258,-0.1909,-0.0559,-0.0036,-0.0085,170.5819,0.0000
14782.4834,-0.1876,-0.1258,-0.1909,-0.0570,-0.0056,-0.0075,170.6641,0.0000
14782.4932,-0.2131,-0.1258,-0.1910,-0.0990,-0.0056,-0.0093,173.7166,0.0000
14782.5029,-0.2141,-0.1258,-0.1910,-0.0990,-0.0042,-0.0091,174.2002,0.0000
14782.5127,-0.2151,-0.1258,-0.1911,-0.0976,-0.0034,-0.0081,174.8379,0.0000
14782.5234,-0.2160,-0.1259,-0.1911,-0.0948,-0.0042,-0.0095,173.7350,0.0000
14782.5332,-0.2498,-0.1259,-0.1912,-0.1454,-0.0043,-0.0099,175.7601,0.0000
14782.5430,-0.2512,-0.1259,-0.1912,-0.1413,-0.0039,-0.0089,176.0761,0.0000
14782.5527,-0.2526,-0.1259,-0.1912,-0.1378,-0.0049,-0.0085,175.9132,0.0000
14782.5635,-0.2540,-0.1260,-0.1913,-0.1355,-0.0051,-0.0094,175.4710,0.0000
14782.5732,-0.2554,-0.1260,-0.1913,-0.1348,-0.0044,-0.0089,175.7907,0.0000
14782.5830,-0.2567,-0.1260,-0.1914,-0.1351,-0.0040,-0.0076,176.3442,0.0000
14782.5928,-0.2581,-0.1260,-0.1914,-0.1360,-0.0047,-0.0088,175.8021,0.0000
14782.6025,-0.2594,-0.1261,-0.1915,-0.1368,-0.0055,-0.0094,175.4577,0.0000
14782.6133,-0.2230,-0.1261,-0.1915,-0.0743,-0.0055,-0.0085,172.2720,0.0000
14782.6230,-0.2238,-0.1261,-0.1915,-0.0730,-0.0050,-0.0090,172.0025,0.0000
14782.6328,-0.2245,-0.1261,-0.1916,-0.0704,-0.0050,-0.0094,171.3803,0.0000
